     INDEX,YYYY/MM/DD,  H: M: S: MS,        RR
       265, 2008/07/29, 16:35:27:666,     1.066
       266, 2008/07/29, 16:35:28:732,     1.062
       267, 2008/07/29, 16:35:29:794,     0.935
       268, 2008/07/29, 16:35:30:729,     0.982
       269, 2008/07/29, 16:35:31:711,     1.051
       270, 2008/07/29, 16:35:32:762,     1.012
       271, 2008/07/29, 16:35:33:774,     1.053
       272, 2008/07/29, 16:35:34:827,     1.131
       273, 2008/07/29, 16:35:35:958,     1.089
       274, 2008/07/29, 16:35:37:047,     1.072
       275, 2008/07/29, 16:35:38:119,     1.116
       276, 2008/07/29, 16:35:39:235,     0.989
       277, 2008/07/29, 16:35:40:224,     0.958
       278, 2008/07/29, 16:35:41:182,     1.058
       279, 2008/07/29, 16:35:42:240,     1.112
       280, 2008/07/29, 16:35:43:352,     1.045
       281, 2008/07/29, 16:35:44:397,     1.115
       282, 2008/07/29, 16:35:45:512,     1.079
       283, 2008/07/29, 16:35:46:591,     0.970
       284, 2008/07/29, 16:35:47:561,     1.051
       285, 2008/07/29, 16:35:48:612,     1.078
       286, 2008/07/29, 16:35:49:690,     0.987
       287, 2008/07/29, 16:35:50:677,     1.028
       288, 2008/07/29, 16:35:51:705,     1.065
       289, 2008/07/29, 16:35:52:770,     0.962
       290, 2008/07/29, 16:35:53:732,     0.953
       291, 2008/07/29, 16:35:54:685,     1.037
       292, 2008/07/29, 16:35:55:722,     1.026
       293, 2008/07/29, 16:35:56:748,     0.952
       294, 2008/07/29, 16:35:57:700,     1.049
       295, 2008/07/29, 16:35:58:749,     1.118
       296, 2008/07/29, 16:35:59:867,     1.027
       297, 2008/07/29, 16:36:00:894,     1.045
       298, 2008/07/29, 16:36:01:939,     1.058
       299, 2008/07/29, 16:36:02:997,     0.942
       300, 2008/07/29, 16:36:03:939,     0.995
       301, 2008/07/29, 16:36:04:934,     1.091
